Site,Plot,Sapling_per_ha,Aspect,Crown_Cover,TPH,Mean_CBH.m.,Shrub_Pres,Pine_Oak,MS_Total_PAD,MS_PAD_2m,MS_Total_Occlusion,MS_Occlusion_2m,SS_Total_PAD,SS_PAD_2m,SS_Total_Occlusion,SS_Occlusion_2m
BD,BD_001,0,26,7.3,98.84206521,2.68224,1,0,7.949301413,4.332980784,0.428603469,0.008148923,5.467324647,3.036112592,11.95728891,0.405626994
BD,BD_002,0,161,24.7,148.2630978,1.71704,1,0,7.623967937,3.664990373,1.556148117,0.026091507,5.999611903,2.903630393,24.95072756,0.882700359
BD,BD_003,0,21,39.3,123.5525815,4.120896,1,0,8.257967501,3.940528404,0.408717108,0.010690789,6.254944524,2.916807773,24.63636074,0.749900319
BD,BD_004,988.4,298,42.7,370.6577445,2.046224,1,0,13.01486258,4.899195148,5.377592449,0.206140351,9.237561721,3.825705938,81.67093855,5.698888557
BD,BD_005,0,227,24,98.84206521,1.37922,1,0,8.811019574,5.285989649,0.43849681,0.202402313,6.003188843,3.827542325,41.31233431,2.555547249
BGT,BGT_MX_001,0,78,3.3,148.2630978,1.2192,1,1,7.100790305,5.447060172,1.370962919,1.313746013,5.685787343,4.34795624,12.57016216,5.969971093
BGT,BGT_MX_003,0,9,52.7,271.8156793,4.504266667,1,1,13.75968291,5.380226666,6.958054567,0.055995813,10.79782671,3.975443998,51.01173984,1.50979366
BGT,BGT_MX_004,247.1,40,26,98.84206521,2.0574,1,1,7.307876941,4.747365174,1.091681619,0.952801037,6.068904404,3.758513267,14.33552896,5.641721491
BGT,BGT_MX_005,247.1,49,39.3,420.0787771,3.5306,1,1,10.85624216,5.375357853,11.46559411,0.244866427,8.310818407,4.239563038,62.54923869,4.793336324
BGT,BGT_MX_006,0,44,17.3,444.7892934,3.43408,1,1,11.71356206,4.756244197,12.23480553,0.340011962,11.94509811,4.941613073,86.12226928,5.240953947
BGT,BGT_MX_008,0,16,42,247.105163,3.701142857,1,1,14.40708466,5.587751008,4.092848741,0.052282695,10.97226467,3.754849605,64.92203171,1.65233752
CW,CW_001,494.2,240,36,444.7892934,2.065866667,0,0,11.05480007,4.068508214,1.93166233,0.070175439,7.110486495,2.66906582,54.39616134,4.584205542
CW,CW_002,247.1,350,42,395.3682608,2.887287273,1,0,8.881051996,3.994842078,1.080438216,0.073041268,7.311184263,3.136501725,66.34946024,5.654680024
CW,CW_003,741.3,330,54.7,667.1839401,1.389662222,1,0,11.04358812,4.797468876,4.62676206,0.238561603,8.163746148,3.382838987,48.24065341,5.412355463
CW,CW_004,494.2,125,38.7,815.447038,2.817222857,1,0,12.75104987,3.962906451,3.27092558,0.147752193,10.01183946,2.703859807,58.81686875,2.965535287
CW,CW_005,0,225,22,247.105163,2.67462,1,0,9.023616712,3.554915854,0.324698584,0.043411085,7.522210512,2.539886357,39.43094123,2.215585128
CW,CW_006,247.1,260,34.7,568.3418749,2.764536,0,0,13.19295413,3.836682254,2.964763516,0.058986244,10.70762052,2.793348262,35.08645766,2.421102472
CW,CW_007,247.1,354,22,395.3682608,2.577465,1,0,10.10839314,4.14523873,0.554226475,0.086847089,7.958280145,3.053438041,22.03688689,3.159788676
CW,CW_008,0,0,61.3,494.210326,4.410456,0,0,18.07810243,4.021467803,15.66516067,0.687375399,14.31875109,2.732554291,115.7372169,3.591656699
CW,CW_009,494.2,340,68,345.9472282,3.814354286,1,0,15.11045145,4.140863661,4.639562554,0.403533692,13.44636006,3.401466824,47.69481452,4.448913477
CW,CW_010,0,320,43.3,1037.841685,4.555236,0,0,15.95196158,3.602532702,11.75449362,0.182366427,14.22525346,2.599706307,70.59712192,3.337495016
CW,CW_011,0,183,36,271.8156793,3.269672727,0,0,11.51513131,4.436244291,1.315662893,0.195748604,9.874001296,3.757277196,19.00316455,1.877791069
CW,CW_012,0,17,60,370.6577445,4.227341538,1,0,16.51239426,4.958636943,6.478081415,0.376744418,11.56807541,3.819099706,85.75228381,3.498753987
CW,CW_013,247.1,350,52.7,247.105163,2.30632,1,0,11.30325447,4.317095064,2.639584268,0.268241627,11.5005665,3.836014746,55.66819317,5.4023126
CW,CW_014,0,42,38,321.2367119,3.55346,1,0,13.51029034,4.518961393,5.074774781,0.289224482,11.83093293,3.343547286,52.19954311,3.532396332
CW,CW_015,0,316,80.7,716.6049727,4.101737143,1,0,16.63542853,3.255160031,10.30837062,0.073788876,14.8423703,2.595906402,99.31107159,2.856135367
DC,DC_LP_011,247.1,274,44.7,741.315489,2.7686,1,0,16.58460612,4.151974295,4.302238844,0.101500199,14.39379747,3.317498504,91.00477569,3.123679226
DC,DC_PP_001,0,101,26,123.5525815,2.98704,0,0,7.23241364,4.375208821,0.55863736,0.02242823,4.885748463,3.086050956,22.01156658,0.549292265
DC,DC_PP_006,0,122,25.3,296.5261956,1.7272,1,0,9.957062829,5.139808232,1.641796252,0.286857057,7.003546377,3.506322456,16.4371508,1.286333732
DC,DC_PP_010,0,173,24.7,98.84206521,1.2954,0,0,8.155134356,5.07968346,1.260192384,0.118047249,5.15651479,3.669540324,25.02221355,2.506130383
LJ,LJ_001,494.2,265,53.3,172.9736141,7.4676,0,0,9.633286068,2.77354531,0.86130442,0.024745813,8.319635184,2.320034531,39.84544439,2.031997608
LJ,LJ_002,0,12,13.3,74.1315489,8.636,1,0,8.53508771,3.731682387,0.901903547,0.022602671,6.503822473,2.990543857,19.34924659,0.607256778
LJ,LJ_003,0,60,30,98.84206521,7.8486,0,0,9.631804003,4.178571289,0.634735027,0.05955941,7.486250656,3.489937626,20.79825869,1.469672049
N1,N1_001,247.1,40,51.3,247.105163,6.81228,0,0,11.13413224,2.758166778,2.495212467,0.282172049,9.118577887,2.483290515,50.43585036,1.719647129
N1,N1_002,0,56,42,271.8156793,9.23544,0,0,13.73129172,2.777963641,1.568371361,0.047772129,10.88734761,2.376198264,50.80627002,0.957834928
N1,N1_003,494.2,10,45.3,321.2367119,5.873261538,0,0,12.43652049,2.895380398,4.021514068,1.450608054,9.305642205,2.518580799,44.52337702,2.887310606
N1,N1_004,247.1,30,35.3,74.1315489,4.9784,0,0,9.854398131,2.576900767,2.635866071,0.007476077,8.599061508,2.313984772,19.3474986,0.899845494
N1,N1_005,988.4,23,47.3,148.2630978,6.5024,0,0,12.5830509,2.949492457,1.064186124,0.042289673,9.712319239,2.541851593,39.17883454,1.858128987
N1,N1_006,0,30,32.7,444.7892934,7.0358,0,0,12.35625825,2.80058041,2.293788101,0.056568979,10.32548779,2.403073911,40.33876141,1.066487241
N1,N1_007,741.3,65,38.7,197.6841304,2.667,0,0,9.705705726,3.469891218,0.703092435,0.012908692,8.104234629,2.950148189,51.80541621,2.053503788
RM,RM_001,0,159,30.7,49.4210326,1.64592,1,0,8.886007661,3.683825273,1.858921193,0.013556619,6.071698889,2.537894215,59.10193266,0.55564693
RM,RM_002,0,202,26,24.7105163,3.53568,1,0,7.654764797,4.489650079,0.817572404,0.022004585,5.043330501,2.950760967,41.18286916,0.820599083
RM,RM_003,0,99,47.3,247.105163,3.233928,0,0,11.55582704,3.281369743,2.425214314,0.214264354,9.154842698,2.521831116,100.6705741,1.625299043
RM,RM_004,0,221,44,148.2630978,3.46964,1,0,11.21529701,3.643661231,4.529600103,0.254784689,8.796272033,2.700834464,66.47716665,1.401066587
RM,RM_005,0,192,44.7,321.2367119,2.902633846,0,0,12.35876568,3.260139112,3.382454986,0.071645734,8.974000842,2.453615982,52.28272937,1.051510167
RM,RM_006,0,155,29.3,172.9736141,1.476102857,0,0,8.000921383,4.063791737,0.926335726,0.037903708,5.978383145,2.878226777,28.367499,2.03907496
RM,RM_007,0,118,16,148.2630978,2.913888,1,0,8.132655934,4.528170572,2.157015887,0.164972089,6.033345203,3.448417423,14.65612362,1.821122408
RM,RM_008,0,163,38,197.6841304,3.14706,1,0,9.726370961,3.597843938,3.227878496,0.324710925,6.537664091,2.190740906,56.36836102,1.557167065
RM,RM_009,0,192,41.3,98.84206521,3.9243,1,0,11.43788811,4.284658011,4.190258021,0.18949362,7.536717932,2.866769495,87.16564692,1.781773325
RM,RM_010,0,160,26.7,98.84206521,2.42316,0,0,9.684783028,3.4209967,1.02925638,0.014005183,7.148068908,2.633688478,48.24031275,0.889403907
RM,RM_011,0,62,18.7,49.4210326,2.27076,1,0,8.83807736,4.583511774,2.743567322,0.025119617,5.907098962,3.109392619,15.87774524,0.471117424
RM,RM_012,0,119,2,98.84206521,1.85166,1,0,9.700859347,4.108049639,1.109499601,0.1269687,6.44663311,3.045131565,13.99683033,0.555746611
RM,RM_013,0,81,47.2,148.2630978,3.18516,1,0,12.852348,4.307865707,3.928204745,0.065963915,9.546050032,2.998705581,77.88787358,1.716532097
RM,RM_014,0,256,46,247.105163,2.98704,0,0,12.03926961,3.280809413,4.179894174,0.019113836,9.552135821,2.441338549,45.6696818,0.695947967
RM,RM_015,0,50,57.3,197.6841304,3.32613,1,0,13.47522246,3.555787124,10.05540488,0.084703947,9.547383806,2.669782953,69.25617271,1.05078748
SC,SC_U1_009,0,145,8.7,123.5525815,1.499616,0,0,5.187338307,3.953776717,0.086523126,0.030078748,3.745245921,2.901559472,5.14018982,1.388930423
SC,SC_U1_010,0,99,13.3,197.6841304,2.35077,0,0,7.88486709,4.457388595,0.505258174,0.011662679,5.801893294,3.400067947,50.92794927,1.095344896
SC,SC_U2_008,0,310,36.7,247.105163,2.289048,1,0,9.426399825,5.027559903,0.46680622,0.091856061,6.511038319,3.532547033,59.7961422,3.835052831
SC,SC_U2_009,0,161,1.3,345.9472282,2.486297143,1,0,11.22416388,3.813035001,3.044233453,0.027636563,8.032826097,3.002525286,95.07435205,1.546625797
SC,SC_U2_010,494.2,169,30,247.105163,2.557272,1,0,7.933906474,3.83187147,0.294059091,0.020235247,6.750458641,2.93952702,68.2881599,1.170703748
SC,SC_U3_007,988.4,5,40.7,716.6049727,3.4210752,0,0,11.59552478,4.748558419,1.978833232,0.063770933,9.770140219,4.016267164,30.74197202,3.288377193
SC,SC_U3_008,741.3,336,10.7,444.7892934,1.654884706,1,0,8.508831441,5.101008807,0.428229665,0.12796551,5.225347522,3.682524793,27.11422041,3.959878389
SC,SC_U3_009,247.1,331,52,716.6049727,3.598742069,0,0,11.82050491,3.77240304,2.682428619,0.035087719,9.546366162,2.964943359,48.0151858,2.472488038
SC,SC_U3_010,494.2,85,44.7,766.0260053,2.46888,0,0,14.04263699,3.967162914,6.7228117,0.080517344,11.12994706,2.93389817,69.25399034,3.342877791
SR,SR_CC_MX_002,0,15,64,642.4734238,6.559826087,1,1,17.52532379,4.769424866,4.774265098,0.118371212,14.51513284,3.805018608,86.7275517,2.984674043
SR,SR_CC_MX_003,247.1,341,59.3,469.4998097,8.8392,1,1,16.55594861,4.937433178,6.386414756,0.198190789,13.82328782,5.184140481,104.2157813,7.399945175
SR,SR_CC_MX_005,0,315,28.7,123.5525815,3.84048,1,1,9.727515604,5.469859048,0.975813638,0.433437998,8.207823099,4.65989339,52.12357236,3.130033892
SR,SR_CC_MX_006,0,336,69.3,469.4998097,7.411452632,1,1,17.43603106,6.090760289,3.589122554,0.567110247,14.59095839,5.093573992,40.5094158,3.742723285
SR,SR_SM_MX_001,0,270,30.7,98.84206521,0.6858,1,1,10.86160094,6.445895744,17.50085927,1.647577751,8.302449689,4.307369075,173.7707045,8.768690191
SR,SR_SM_MX_002,988.4,268,57.3,494.210326,3.065929412,1,1,14.55936024,5.102679213,7.174391932,0.938422049,11.24537861,4.185952551,72.89542715,6.11715012
SR,SR_SM_MX_003,1235.5,24,54.7,395.3682608,6.5024,1,1,17.08731487,6.258428096,6.170405317,2.059434809,12.26485671,4.21968664,104.8321948,11.53331838
SR,SR_SM_MX_004,0,282,30,222.3946467,1.2192,1,1,13.36411024,5.578083815,2.890928484,0.722413278,11.33486165,4.999164818,89.29809806,5.71291866
SR,SR_SM_MX_006,988.4,34,34,172.9736141,2.090057143,1,1,12.09726578,5.26647978,3.781548977,1.369293262,14.26062341,7.095455538,103.0560659,13.15617524
SR,SR_SM_MX_008,0,38,4.7,49.4210326,1.2192,1,1,8.109007342,5.801703664,0.709804717,0.541641746,5.557366741,4.267971608,5.837941056,3.166741427
