Plot,Tree_ID,Species,LiveDead_Status,BasalA.m2.,DBH.cm.,Height.m.,CBH.m.,forestType
BD_001,3,Pinus ponderosa,Live,0.026254399,18.288,7.98576,1.85928,Pondo
BD_001,4,Pinus ponderosa,Live,0.031607582,20.066,9.81456,4.05384,Pondo
BD_001,2,Pinus ponderosa,Live,0.099264318,35.56,13.716,1.6764,Pondo
BD_001,1,Pinus ponderosa,Live,0.142940617,42.672,13.77696,3.13944,Pondo
BD_002,2,Pinus ponderosa,Live,0.024112113,17.526,5.27304,1.524,Pondo
BD_002,6,Pinus ponderosa,Live,0.042865979,23.368,10.60704,1.524,Pondo
BD_002,5,Pinus ponderosa,Live,0.068147993,29.464,10.57656,2.40792,Pondo
BD_002,3,Pinus ponderosa,Live,0.088243953,33.528,9.50976,0.97536,Pondo
BD_002,1,Pinus ponderosa,Live,0.113951385,38.1,9.57072,1.61544,Pondo
BD_002,4,Pinus ponderosa,Live,0.121674757,39.37,10.39368,2.25552,Pondo
BD_003,2,Pinus ponderosa,Live,0.072928886,30.48,11.43,3.2004,Pondo
BD_003,4,Pinus ponderosa,Live,0.079132906,31.75,10.78992,3.13944,Pondo
BD_003,1,Pinus ponderosa,Live,0.09093827,34.036,13.53312,5.97408,Pondo
BD_003,6,Pinus ponderosa,Live,0.092300622,34.29,14.90472,6.61416,Pondo
BD_003,5,Pinus ponderosa,Live,0.10795501,37.084,11.49096,1.6764,Pondo
BD_004,2,Pseudotsuga menziesii,Live,0.012661265,12.7,8.04672,0.54864,DMC
BD_004,3,Pinus ponderosa,Live,0.015320131,13.97,7.55904,1.58496,DMC
BD_004,4,Pseudotsuga menziesii,Live,0.015882291,14.224,6.15696,0,DMC
BD_004,5,Pinus ponderosa,Live,0.01645458,14.478,10.57656,3.62712,DMC
BD_004,6,Pseudotsuga menziesii,Live,0.017629545,14.986,5.66928,0.42672,DMC
BD_004,7,Pinus ponderosa,Live,0.055836179,26.67,11.49096,2.16408,DMC
