"Term","coefficient","Dataset","Repeat","Fold"
"lad_max",0.755482542541751,"SF_bio",1,1
"Ny_mean",1.81462362818005,"SF_bio",1,1
"Linearity_mean",0.924940257453103,"SF_bio",1,1
"Percent.Below.20th.Quantile",1.08484752290764,"SF_bio",1,1
"Total_PAD_RelZ0.55_1.00",1.27169068533222,"SF_bio",1,1
"Verticality_mean",-2.74368153224726,"SF_bio",1,1
"lad_max",1.52951533349302,"SF_bio",1,2
"Ny_mean",2.35847173528491,"SF_bio",1,2
"Percent.Below.30th.Quantile",2.69997456729543,"SF_bio",1,2
"Linearity_mean",1.4928142894173,"SF_bio",1,2
"Verticality_mean",-3.68237499503044,"SF_bio",1,2
"lad_max",0.8976382238759,"SF_bio",1,3
"Percent.Below.40th.Quantile",0.972335809896969,"SF_bio",1,3
"Ny_mean",2.44568180284624,"SF_bio",1,4
"Percent.Below.30th.Quantile",2.30998430410736,"SF_bio",1,4
"Linearity_mean",1.8828079737087,"SF_bio",1,4
"Verticality_mean",-3.00127980590999,"SF_bio",1,4
"Ny_mean",1.90764858590656,"SF_bio",1,5
"Percent.Below.30th.Quantile",1.22918316043997,"SF_bio",1,5
"lad_mean",1.34117444310078,"SF_bio",1,5
"Nz_mean",1.72194668066801,"SF_bio",1,5
"lad_max",2.43708378344844,"SF_bio",2,1
"lad_max",0.981984522387143,"SF_bio",2,2
"Percent.Below.30th.Quantile",1.36347546483989,"SF_bio",2,2
"Linearity_mean",1.22883533739105,"SF_bio",2,2
"Ny_mean",1.542535706406,"SF_bio",2,3
"Linearity_mean",0.902280096626546,"SF_bio",2,3
"Percent.Below.20th.Quantile",1.37262493084089,"SF_bio",2,3
"Total_PAD_RelZ0.55_1.00",0.900107625215953,"SF_bio",2,3
"Verticality_mean",-2.70215678363488,"SF_bio",2,3
"Total_PAD_RelZ0.30_0.50",0.907562958907901,"SF_bio",2,3
"lad_max",0.944083883171831,"SF_bio",2,4
"Ny_mean",2.46619074634771,"SF_bio",2,4
"Percent.Below.30th.Quantile",2.31570956852268,"SF_bio",2,4
"Linearity_mean",1.46713714869697,"SF_bio",2,4
"Verticality_mean",-3.31457195067014,"SF_bio",2,4
"Ny_mean",2.70237974830744,"SF_bio",2,5
"Percent.Below.30th.Quantile",2.53552300554986,"SF_bio",2,5
"Linearity_mean",1.80147480549302,"SF_bio",2,5
"Verticality_mean",-3.4823451333968,"SF_bio",2,5
"Ny_mean",2.00018857377374,"SF_bio",3,1
"Percent.Below.30th.Quantile",1.49280216277752,"SF_bio",3,1
"Nz_mean",1.2720298685641,"SF_bio",3,1
"lad_max",2.01269874896059,"SF_bio",3,2
"lad_max",1.94160660220093,"SF_bio",3,3
"Ny_mean",2.94865086388159,"SF_bio",3,3
"Percent.Below.30th.Quantile",2.02962315280695,"SF_bio",3,3
"Linearity_mean",1.59268021967861,"SF_bio",3,3
"Verticality_mean",-4.08635965710195,"SF_bio",3,3
"lad_max",1.17958760168423,"SF_bio",3,4
"Ny_mean",2.79548789758217,"SF_bio",3,4
"Percent.Below.30th.Quantile",2.02736359466592,"SF_bio",3,4
"Verticality_mean",-3.03438278300116,"SF_bio",3,4
"eSum_mean",-2.2464832160224,"SF_bio",3,5
"PCA1_sd",-1.64189857462015,"SF_bio",3,5
"Total_PAD_RelZ0.30_0.50",1.13380724018735,"SF_bio",3,5
"lad_max",0.700025431796722,"SF_bio",4,1
"Ny_mean",1.531266590448,"SF_bio",4,1
"Linearity_mean",1.31119652083182,"SF_bio",4,1
"Nz_mean",2.77127093875824,"SF_bio",4,1
"Percent.Below.20th.Quantile",1.26389906231206,"SF_bio",4,1
"Total_PAD_RelZ0.55_1.00",0.913949655932036,"SF_bio",4,1
"Total_PAD_RelZ0.30_0.50",0.916739705004376,"SF_bio",4,1
"Percent.Below.40th.Quantile",1.27300122880917,"SF_bio",4,2
"Ny_mean",2.71582515005342,"SF_bio",4,3
"Percent.Below.30th.Quantile",2.32429994651999,"SF_bio",4,3
"Linearity_mean",1.53826615362622,"SF_bio",4,3
"Verticality_mean",-3.27249416355245,"SF_bio",4,3
"lad_max",2.20129414034077,"SF_bio",4,4
"Percent.Below.30th.Quantile",1.05159833306122,"SF_bio",4,4
"Linearity_mean",0.521052806703131,"SF_bio",4,4
"lad_max",1.58882357121613,"SF_bio",4,5
"Ny_mean",1.68703962012441,"SF_bio",4,5
"Percent.Below.30th.Quantile",1.37665335695223,"SF_bio",4,5
"Nz_mean",1.6840831388392,"SF_bio",4,5
"lad_max",6.4416528183714,"SF_bio",5,1
"Ny_mean",2.59756274211068,"SF_bio",5,1
"Percent.Below.30th.Quantile",1.35911734558,"SF_bio",5,1
"Linearity_mean",1.84522783067952,"SF_bio",5,1
"Mean_PropOcc_RelZ0_0.25",-1.39472913137887,"SF_bio",5,1
"Verticality_mean",-3.8809711591361,"SF_bio",5,1
"Linearity_mean",0.938938430733314,"SF_bio",5,2
"Total_PAD_RelZ0.30_0.50",0.890055970341473,"SF_bio",5,2
"Ny_mean",2.64441364215418,"SF_bio",5,3
"Percent.Below.30th.Quantile",2.41082260449012,"SF_bio",5,3
"Linearity_mean",1.54345812354669,"SF_bio",5,3
"Verticality_mean",-3.09195493753737,"SF_bio",5,3
"Ny_mean",2.22646167719274,"SF_bio",5,4
"Percent.Below.30th.Quantile",2.98899877521738,"SF_bio",5,4
"Linearity_mean",1.92592485416457,"SF_bio",5,4
"Verticality_mean",-3.52119383508137,"SF_bio",5,4
"lad_max",0.833129967161325,"SF_bio",5,5
"Percent.Below.40th.Quantile",0.882141336553554,"SF_bio",5,5
"lad_max",1.08839826855297,"SF_bio",6,1
"Ny_mean",2.50998045064345,"SF_bio",6,1
"Percent.Below.30th.Quantile",2.24437487499252,"SF_bio",6,1
"Linearity_mean",1.40554975974421,"SF_bio",6,1
"Verticality_mean",-3.66913493719859,"SF_bio",6,1
"lad_max",1.41555696227251,"SF_bio",6,2
"Ny_mean",2.27832495152715,"SF_bio",6,2
"Percent.Below.30th.Quantile",2.48336436171565,"SF_bio",6,2
"Linearity_mean",1.57568420978387,"SF_bio",6,2
"Verticality_mean",-3.50848999731149,"SF_bio",6,2
"lad_max",1.28851298062376,"SF_bio",6,3
"lad_max",0.63894902770114,"SF_bio",6,4
"Ny_mean",0.815952391822031,"SF_bio",6,4
"eSum_mean",-2.50423088695729,"SF_bio",6,4
"Total_PAD_RelZ0.55_1.00",0.365666847620306,"SF_bio",6,4
