Predictor,Coefficient,AbsCoef,Dataset,Repeat,Fold
Total_PAD_RelZ0.55_1.00,0.012895421,0.012895421,SF_bio,1,1
Total_PAD_RelZ0.30_0.50,0.007397851,0.007397851,SF_bio,1,1
PC_Density_m3,0,0,SF_bio,1,1
cHull_vol,0,0,SF_bio,1,1
Alpha_Vol_m3,0,0,SF_bio,1,1
horizontalRumpel,0,0,SF_bio,1,1
mean_vox_ht,0,0,SF_bio,1,1
sd_vox_ht,0,0,SF_bio,1,1
zmax,0,0,SF_bio,1,1
zmean,0,0,SF_bio,1,1
PC_Density_m3,0,0,SF_bio,1,2
cHull_vol,0,0,SF_bio,1,2
Alpha_Vol_m3,0,0,SF_bio,1,2
horizontalRumpel,0,0,SF_bio,1,2
mean_vox_ht,0,0,SF_bio,1,2
sd_vox_ht,0,0,SF_bio,1,2
zmax,0,0,SF_bio,1,2
zmean,0,0,SF_bio,1,2
zsd,0,0,SF_bio,1,2
zskew,0,0,SF_bio,1,2
lad_max,0.018966225,0.018966225,SF_bio,1,3
Percent.Below.40th.Quantile,0.017520135,0.017520135,SF_bio,1,3
lad_sum,0.017133992,0.017133992,SF_bio,1,3
Percent.Below.30th.Quantile,0.015342985,0.015342985,SF_bio,1,3
lad_mean,0.01482262,0.01482262,SF_bio,1,3
Ny_mean,0.014559655,0.014559655,SF_bio,1,3
ipcumzq90,0.012077134,0.012077134,SF_bio,1,3
PCA1_mean,0.011418528,0.011418528,SF_bio,1,3
Percent.Below.10th.Quantile,-0.011079856,0.011079856,SF_bio,1,3
ipcumzq70,0.010749697,0.010749697,SF_bio,1,3
lad_max,0.183258291,0.183258291,SF_bio,1,4
Ny_mean,0.145472643,0.145472643,SF_bio,1,4
Percent.Below.30th.Quantile,0.132540887,0.132540887,SF_bio,1,4
lad_sum,0.085568268,0.085568268,SF_bio,1,4
Linearity_mean,0.033840192,0.033840192,SF_bio,1,4
lad_mean,0.017200626,0.017200626,SF_bio,1,4
PC_Density_m3,0,0,SF_bio,1,4
cHull_vol,0,0,SF_bio,1,4
Alpha_Vol_m3,0,0,SF_bio,1,4
horizontalRumpel,0,0,SF_bio,1,4
PC_Density_m3,0,0,SF_bio,1,5
cHull_vol,0,0,SF_bio,1,5
Alpha_Vol_m3,0,0,SF_bio,1,5
horizontalRumpel,0,0,SF_bio,1,5
mean_vox_ht,0,0,SF_bio,1,5
sd_vox_ht,0,0,SF_bio,1,5
zmax,0,0,SF_bio,1,5
zmean,0,0,SF_bio,1,5
zsd,0,0,SF_bio,1,5
zskew,0,0,SF_bio,1,5
lad_max,0.019523911,0.019523911,SF_bio,2,1
lad_sum,0.016657959,0.016657959,SF_bio,2,1
Percent.Below.40th.Quantile,0.015364064,0.015364064,SF_bio,2,1
lad_mean,0.015331578,0.015331578,SF_bio,2,1
Percent.Below.30th.Quantile,0.013686522,0.013686522,SF_bio,2,1
Ny_mean,0.013576105,0.013576105,SF_bio,2,1
PCA1_mean,0.012319121,0.012319121,SF_bio,2,1
PCA2_mean,0.01216658,0.01216658,SF_bio,2,1
ipcumzq70,0.012158628,0.012158628,SF_bio,2,1
ipcumzq90,0.010772767,0.010772767,SF_bio,2,1
lad_max,0.03571986,0.03571986,SF_bio,2,2
Percent.Below.30th.Quantile,0.032992919,0.032992919,SF_bio,2,2
lad_mean,0.030446506,0.030446506,SF_bio,2,2
lad_sum,0.029969515,0.029969515,SF_bio,2,2
Ny_mean,0.028747145,0.028747145,SF_bio,2,2
Percent.Below.40th.Quantile,0.025578489,0.025578489,SF_bio,2,2
Percent.Below.10th.Quantile,-0.022545669,0.022545669,SF_bio,2,2
PCA2_mean,0.021721736,0.021721736,SF_bio,2,2
Linearity_mean,0.021191588,0.021191588,SF_bio,2,2
zpcum1,-0.020840922,0.020840922,SF_bio,2,2
Total_PAD_RelZ0.30_0.50,0.117725,0.117725,SF_bio,2,3
Ny_mean,0.109146736,0.109146736,SF_bio,2,3
SD_PropOcc_RelZ0.55_1.00,0.105210653,0.105210653,SF_bio,2,3
Linearity_mean,0.089834596,0.089834596,SF_bio,2,3
Mean_PAD_RelZ0.30_0.50,0.083442066,0.083442066,SF_bio,2,3
Total_PAD_RelZ0.55_1.00,0.063957912,0.063957912,SF_bio,2,3
Mean_PAD_RelZ0.55_1.00,0.021582554,0.021582554,SF_bio,2,3
SD_PropOcc_RelZ0.30_0.50,0.02052119,0.02052119,SF_bio,2,3
PC_Density_m3,0,0,SF_bio,2,3
cHull_vol,0,0,SF_bio,2,3
PC_Density_m3,0,0,SF_bio,2,4
cHull_vol,0,0,SF_bio,2,4
Alpha_Vol_m3,0,0,SF_bio,2,4
horizontalRumpel,0,0,SF_bio,2,4
mean_vox_ht,0,0,SF_bio,2,4
sd_vox_ht,0,0,SF_bio,2,4
zmax,0,0,SF_bio,2,4
zmean,0,0,SF_bio,2,4
zsd,0,0,SF_bio,2,4
zskew,0,0,SF_bio,2,4
lad_max,0.027656423,0.027656423,SF_bio,2,5
Percent.Below.30th.Quantile,0.02490746,0.02490746,SF_bio,2,5
lad_mean,0.023471307,0.023471307,SF_bio,2,5
lad_sum,0.022569259,0.022569259,SF_bio,2,5
Ny_mean,0.022382383,0.022382383,SF_bio,2,5
Percent.Below.40th.Quantile,0.020853038,0.020853038,SF_bio,2,5
Percent.Below.20th.Quantile,0.015922873,0.015922873,SF_bio,2,5
Linearity_mean,0.015825717,0.015825717,SF_bio,2,5
Percent.Below.10th.Quantile,-0.015801214,0.015801214,SF_bio,2,5
zpcum1,-0.014227916,0.014227916,SF_bio,2,5
lad_max,0.060746495,0.060746495,SF_bio,3,1
Ny_mean,0.012924455,0.012924455,SF_bio,3,1
lad_sum,0.003918769,0.003918769,SF_bio,3,1
PC_Density_m3,0,0,SF_bio,3,1
cHull_vol,0,0,SF_bio,3,1
Alpha_Vol_m3,0,0,SF_bio,3,1
horizontalRumpel,0,0,SF_bio,3,1
mean_vox_ht,0,0,SF_bio,3,1
sd_vox_ht,0,0,SF_bio,3,1
zmax,0,0,SF_bio,3,1
