"Predictor","Importance","Dataset","Repeat","Fold"
"Percent.Below.30th.Quantile",90.8765889300022,"SF_bio",1,1
"Ny_mean",82.6790222435413,"SF_bio",1,1
"lad_sum",75.9867862524681,"SF_bio",1,1
"lad_mean",63.7873074622963,"SF_bio",1,1
"Anisotropy_sd",55.1761430258386,"SF_bio",1,1
"zq65",43.0610630088552,"SF_bio",1,1
"PC_Strata_0.00.0.25",39.2495657814662,"SF_bio",1,1
"zq60",38.697549110375,"SF_bio",1,1
"zq70",38.0886698918052,"SF_bio",1,1
"zq15",37.3722303064394,"SF_bio",1,1
"Percent.Below.30th.Quantile",302.190378149322,"SF_bio",1,2
"Percent.Below.40th.Quantile",253.537055336999,"SF_bio",1,2
"lad_sum",249.571912981746,"SF_bio",1,2
"lad_mean",179.398995849721,"SF_bio",1,2
"Ny_mean",144.194191305638,"SF_bio",1,2
"PC_Strata_0.00.0.25",125.605199891946,"SF_bio",1,2
"zq60",115.189858318328,"SF_bio",1,2
"zq80",107.645531056607,"SF_bio",1,2
"mean_vox_ht",99.7373675250054,"SF_bio",1,2
"zq65",94.3695425455251,"SF_bio",1,2
"Percent.Below.40th.Quantile",1143.79957633131,"SF_bio",1,3
"Percent.Below.30th.Quantile",742.69891335017,"SF_bio",1,3
"Total_PAD_RelZ1.05_2.00",39.8425878340789,"SF_bio",1,3
"Ny_mean",38.6832286346138,"SF_bio",1,3
"lad_sum",37.5363857205645,"SF_bio",1,3
"mean_vox_ht",28.2483811720512,"SF_bio",1,3
"zq65",21.802191974356,"SF_bio",1,3
"Alpha_Vol_m3",16.9448847884717,"SF_bio",1,3
"Anisotropy_sd",13.816896728162,"SF_bio",1,3
"lad_mean",13.235653983612,"SF_bio",1,3
"Percent.Below.30th.Quantile",1599.24037063166,"SF_bio",1,4
"Percent.Below.40th.Quantile",576.962729455931,"SF_bio",1,4
"lad_sum",237.701844761524,"SF_bio",1,4
"Ny_mean",208.515017697555,"SF_bio",1,4
"lad_mean",92.7065696762817,"SF_bio",1,4
"zpcum1",46.7197669132782,"SF_bio",1,4
"mean_vox_ht",34.4986892835101,"SF_bio",1,4
"Total_PAD_RelZ1.05_2.00",31.6143370999507,"SF_bio",1,4
"ipcumzq10",29.4403183876496,"SF_bio",1,4
"Alpha_Vol_m3",26.5850367005783,"SF_bio",1,4
"Percent.Below.30th.Quantile",335.147418405414,"SF_bio",1,5
"Percent.Below.40th.Quantile",238.407221964959,"SF_bio",1,5
"lad_sum",218.258765211454,"SF_bio",1,5
"lad_mean",204.424494165042,"SF_bio",1,5
"Ny_mean",156.226265140178,"SF_bio",1,5
"zq80",124.524628637791,"SF_bio",1,5
"zq70",110.766047478063,"SF_bio",1,5
"zq60",108.529281264138,"SF_bio",1,5
"mean_vox_ht",107.096643995668,"SF_bio",1,5
"zpcum1",103.078448445935,"SF_bio",1,5
"Percent.Below.40th.Quantile",783.560050882736,"SF_bio",2,1
"Percent.Below.30th.Quantile",711.794360027708,"SF_bio",2,1
"lad_sum",267.721111250562,"SF_bio",2,1
"lad_mean",141.236753353179,"SF_bio",2,1
"Ny_mean",82.2631726909704,"SF_bio",2,1
"mean_vox_ht",37.2968420089337,"SF_bio",2,1
"Total_PAD_RelZ1.05_2.00",27.749771249205,"SF_bio",2,1
"Anisotropy_sd",23.1658516325783,"SF_bio",2,1
"zpcum1",20.3207677313003,"SF_bio",2,1
"vn",19.5027805119792,"SF_bio",2,1
"Percent.Below.30th.Quantile",2306.25931573845,"SF_bio",2,2
"Percent.Below.40th.Quantile",352.485622418414,"SF_bio",2,2
"Ny_mean",94.5481085677066,"SF_bio",2,2
"lad_sum",92.2222790857061,"SF_bio",2,2
"zq70",39.5998746742438,"SF_bio",2,2
"Total_PAD_RelZ1.05_2.00",33.7936489270249,"SF_bio",2,2
"zpcum1",33.0331747935278,"SF_bio",2,2
"mean_vox_ht",26.5947025091063,"SF_bio",2,2
"Alpha_Vol_m3",23.1577923646581,"SF_bio",2,2
"lad_mean",22.7407245471937,"SF_bio",2,2
"lad_sum",76.3036888728516,"SF_bio",2,3
"Percent.Below.30th.Quantile",74.8240662163771,"SF_bio",2,3
"lad_mean",74.7722124177994,"SF_bio",2,3
"Ny_mean",73.7380723663854,"SF_bio",2,3
"Anisotropy_sd",48.6666829540677,"SF_bio",2,3
"Alpha_Vol_m3",41.5092881965096,"SF_bio",2,3
"PC_Strata_0.00.0.25",39.2168339558838,"SF_bio",2,3
"zq60",36.6209783519598,"SF_bio",2,3
"zq45",34.0056818265033,"SF_bio",2,3
"mean_vox_ht",32.9876147525717,"SF_bio",2,3
"Percent.Below.30th.Quantile",283.531132515176,"SF_bio",2,4
"Percent.Below.40th.Quantile",236.911852327914,"SF_bio",2,4
"lad_sum",232.653023777538,"SF_bio",2,4
"lad_mean",177.964553887353,"SF_bio",2,4
"Ny_mean",161.607806345004,"SF_bio",2,4
"mean_vox_ht",131.69292238113,"SF_bio",2,4
"zq60",114.925749326349,"SF_bio",2,4
"zq80",112.26933497629,"SF_bio",2,4
"zq45",104.168967923782,"SF_bio",2,4
"zq65",100.527228065545,"SF_bio",2,4
"Percent.Below.30th.Quantile",282.202869945245,"SF_bio",2,5
"Percent.Below.40th.Quantile",241.274067543096,"SF_bio",2,5
"lad_sum",183.696450296553,"SF_bio",2,5
"zpcum1",157.053322372911,"SF_bio",2,5
"lad_mean",140.32502782096,"SF_bio",2,5
"Ny_mean",140.258200508238,"SF_bio",2,5
"zq45",120.836396389651,"SF_bio",2,5
"mean_vox_ht",117.936284497433,"SF_bio",2,5
"zq65",110.670703773061,"SF_bio",2,5
"zq15",91.6548146858864,"SF_bio",2,5
"Percent.Below.30th.Quantile",266.72834101788,"SF_bio",3,1
"Percent.Below.40th.Quantile",223.890337786699,"SF_bio",3,1
"lad_sum",181.15620641163,"SF_bio",3,1
"lad_mean",148.909641244363,"SF_bio",3,1
"zq45",127.526786135868,"SF_bio",3,1
"Ny_mean",126.96985108217,"SF_bio",3,1
"zpcum1",125.719703768731,"SF_bio",3,1
"zq60",117.6960179453,"SF_bio",3,1
"zq80",112.349884263488,"SF_bio",3,1
"zq70",97.2628235980822,"SF_bio",3,1
"Percent.Below.40th.Quantile",1050.94456819647,"SF_bio",3,2
"Percent.Below.30th.Quantile",792.211608135144,"SF_bio",3,2
"lad_sum",90.9302275650024,"SF_bio",3,2
"Ny_mean",70.6720361971983,"SF_bio",3,2
"lad_mean",43.0649021324653,"SF_bio",3,2
"mean_vox_ht",41.123492262385,"SF_bio",3,2
"Anisotropy_sd",31.8644893611588,"SF_bio",3,2
"zq80",29.5417343445617,"SF_bio",3,2
"Total_PAD_RelZ1.05_2.00",19.9208252299439,"SF_bio",3,2
"zq65",11.2023189420384,"SF_bio",3,2
"Percent.Below.30th.Quantile",324.859567446,"SF_bio",3,3
"lad_sum",304.216925631852,"SF_bio",3,3
"lad_mean",255.74652379356,"SF_bio",3,3
"Percent.Below.40th.Quantile",232.379544635556,"SF_bio",3,3
"Ny_mean",130.551819813753,"SF_bio",3,3
"PC_Strata_0.00.0.25",128.468538179034,"SF_bio",3,3
"zq65",103.396353021387,"SF_bio",3,3
"zq80",97.3809998051751,"SF_bio",3,3
"zq70",97.2604754770425,"SF_bio",3,3
"zpcum1",93.915744030997,"SF_bio",3,3
"Percent.Below.30th.Quantile",1574.34557209665,"SF_bio",3,4
"Percent.Below.40th.Quantile",507.082357196864,"SF_bio",3,4
"Ny_mean",278.287348661889,"SF_bio",3,4
"lad_sum",207.932008695382,"SF_bio",3,4
"lad_mean",59.9874555125842,"SF_bio",3,4
"Alpha_Vol_m3",48.4962051808223,"SF_bio",3,4
